timestep,max_q_value,cumulative_reward
286,-0.09897215664386749,
287,-0.01588434725999832,
288,0.08006752282381058,
289,0.07435239851474762,
290,0.1100773960351944,
291,0.16050389409065247,
292,0.16626527905464172,
293,0.15000459551811218,
294,0.11021803319454193,
295,0.06111976504325867,
296,-0.01599028706550598,
297,-0.10224171727895737,
298,-0.1306147277355194,
299,-0.21545422077178955,
300,-0.26604074239730835,
301,-0.24888695776462555,
302,-0.1518152803182602,
303,-0.07218990474939346,
304,-0.029061488807201385,
305,0.0296177938580513,
306,0.15954142808914185,
307,0.1607585847377777,
308,0.07355676591396332,
309,0.0030234307050704956,
310,-0.08337710797786713,
311,-0.1741437464952469,
312,-0.20488713681697845,
313,-0.206586554646492,
314,-0.22377319633960724,
315,-0.09302254766225815,
316,-0.06630051881074905,
317,0.038870781660079956,
318,0.17470121383666992,
319,0.2194288671016693,
320,0.23268041014671326,
321,0.15509441494941711,
322,0.11140500009059906,
323,0.04394012689590454,
324,-0.03690622001886368,
325,-0.10755492001771927,
326,-0.13027694821357727,
327,-0.06619902700185776,
328,-0.0005058124661445618,
329,0.03807960823178291,
330,0.07072238624095917,
331,0.11082994937896729,
332,0.20128905773162842,
333,0.20937030017375946,
334,0.16941529512405396,
335,0.10337433964014053,
336,0.06101498007774353,
337,-0.00405275821685791,
338,-0.08072853088378906,
339,-0.10997475683689117,
340,-0.05054174363613129,
341,0.020357578992843628,
342,0.08611782640218735,
343,0.11302321404218674,
344,0.127651184797287,
345,0.10664007067680359,
346,0.07298707962036133,
347,0.07207562029361725,
348,0.028961017727851868,
349,-0.04093401879072189,
350,-0.0409412756562233,
351,-0.150149405002594,
352,-0.2024238407611847,
353,-0.23098033666610718,
354,-0.23375925421714783,
